euctr_id,other_id,field,provenance
2020-002510-40,NA,US NCT number,download
2020-002510-40,NA,other,downlaod
2020-002510-40,NA,US NCT number,results_page
2020-002510-40,NA,ISRCTN number,results_page
2020-002282-33,NA,US NCT number,download
2020-002282-33,NA,other,downlaod
2020-002282-33,NA,US NCT number,results_page
2020-002282-33,NA,ISRCTN number,results_page
2017-004458-41,NA,US NCT number,download
2017-004458-41,NA,other,downlaod
2017-004458-41,NA,US NCT number,results_page
2017-004458-41,NA,ISRCTN number,results_page
2017-001604-30,NA,US NCT number,download
2017-001604-30,NA,other,downlaod
2017-001604-30,NCT03444103,US NCT number,results_page
2017-001604-30,NA,ISRCTN number,results_page
2016-004825-17,NA,US NCT number,download
2016-004825-17,NA,other,downlaod
2016-004825-17,NA,US NCT number,results_page
2016-004825-17,NA,ISRCTN number,results_page
2016-003828-23,NA,US NCT number,download
2016-003828-23,NA,other,downlaod
2016-003828-23,NCT03046381,US NCT number,results_page
2016-003828-23,NA,ISRCTN number,results_page
2016-002370-12,NA,US NCT number,download
2016-002370-12,NA,other,downlaod
2016-002370-12,NA,US NCT number,results_page
2016-002370-12,NA,ISRCTN number,results_page
2016-001777-33,NA,US NCT number,download
2016-001777-33,NA,other,downlaod
2016-001777-33,NCT02758964,US NCT number,results_page
2016-001777-33,NA,ISRCTN number,results_page
2016-000615-33,NCT02758782,US NCT number,download
2016-000615-33,NA,other,downlaod
2016-000615-33,NCT02758782,US NCT number,results_page
2016-000615-33,NA,ISRCTN number,results_page
2015-005346-58,NA,US NCT number,download
2015-005346-58,NA,other,downlaod
2015-005346-58,NCT04114188,US NCT number,results_page
2015-005346-58,NA,ISRCTN number,results_page
2015-001456-29,NA,US NCT number,download
2015-001456-29,NA,other,downlaod
2015-001456-29,NA,US NCT number,results_page
2015-001456-29,NA,ISRCTN number,results_page
2015-000538-31,NA,US NCT number,download
2015-000538-31,NA,other,downlaod
2015-000538-31,NA,US NCT number,results_page
2015-000538-31,NA,ISRCTN number,results_page
2015-000465-31,NA,US NCT number,download
2015-000465-31,NA,other,downlaod
2015-000465-31,NA,US NCT number,results_page
2015-000465-31,NA,ISRCTN number,results_page
2014-005344-17,NA,US NCT number,download
2014-005344-17,NA,other,downlaod
2014-005344-17,NA,US NCT number,results_page
2014-005344-17,NA,ISRCTN number,results_page
2014-005239-15,NA,US NCT number,download
2014-005239-15,NA,other,downlaod
2014-005239-15,NCT03062150,US NCT number,results_page
2014-005239-15,NA,ISRCTN number,results_page
2014-004551-32,NA,US NCT number,download
2014-004551-32,NA,other,downlaod
